Offset-Description                                                                                                 
0000 - Pointer           189A30 : P->1002B6F98         189AD0 : P->1002B6F98         1898F0 : P->1002B6F98         
0B40 - Pointer           18A570 : P->1002BE4F0         18A610 : P->1002BE4F0         18A430 : P->1002BE4F0         
0B48 - 4 Bytes           18A578 : 0                    18A618 : 0                    18A438 : 0                    
0B4C - 4 Bytes           18A57C : 0                    18A61C : 0                    18A43C : 0                    
0B50 - Pointer           18A580 : P->1002BDFD8         18A620 : P->1002BDFD8         18A440 : P->1002BDFD8         
0B58 - Pointer to instance of TMBCSEncoding18A588 : P->0012A720          18A628 : P->0012A720          18A448 : P->0012A720          
0B60 - 4 Bytes           18A590 : 0                    18A630 : 0                    18A450 : 0                    
0B64 - 4 Bytes           18A594 : 0                    18A634 : 0                    18A454 : 0                    
0B68 - 4 Bytes           18A598 : 0                    18A638 : 0                    18A458 : 0                    
0B6C - 4 Bytes (Hex)     18A59C : 2C220001             18A63C : 2C220001             18A45C : 2C220001             
0B70 - 4 Bytes           18A5A0 : 61                   18A640 : 61                   18A460 : 61                   
0B74 - 4 Bytes           18A5A4 : 0                    18A644 : 0                    18A464 : 0                    
0B78 - 4 Bytes           18A5A8 : 0                    18A648 : 0                    18A468 : 0                    
0B7C - 4 Bytes           18A5AC : 0                    18A64C : 0                    18A46C : 0                    
0B80 - 4 Bytes           18A5B0 : 1                    18A650 : 1                    18A470 : 1                    
0B84 - 4 Bytes           18A5B4 : 0                    18A654 : 0                    18A474 : 0                    
0B88 - Pointer           18A5B8 : P->1002C0C70         18A658 : P->1002C0C70         18A478 : P->1002C0C70         
0B90 - 4 Bytes           18A5C0 : 1                    18A660 : 1                    18A480 : 1                    
0B94 - 4 Bytes           18A5C4 : 0                    18A664 : 0                    18A484 : 0                    
0B98 - Pointer           18A5C8 : P->001229D0          18A668 : P->00122A30          18A488 : P->00122910          
0BA0 - 4 Bytes           18A5D0 : 2                    18A670 : 2                    18A490 : 2                    
0BA4 - 4 Bytes           18A5D4 : 4                    18A674 : 4                    18A494 : 4                    
0BA8 - 4 Bytes           18A5D8 : 0                    18A678 : 0                    18A498 : 0                    
0BAC - 4 Bytes           18A5DC : 0                    18A67C : 0                    18A49C : 0                    
0BB0 - 4 Bytes           18A5E0 : 0                    18A680 : 0                    18A4A0 : 0                    
0BB4 - 4 Bytes           18A5E4 : 0                    18A684 : 0                    18A4A4 : 0                    
0BB8 - 4 Bytes           18A5E8 : 0                    18A688 : 0                    18A4A8 : 0                    
0BBC - 4 Bytes           18A5EC : 0                    18A68C : 0                    18A4AC : 0                    
0BC0 - 4 Bytes           18A5F0 : 0                    18A690 : 0                    18A4B0 : 0                    
0BC4 - 4 Bytes           18A5F4 : 0                    18A694 : 0                    18A4B4 : 0                    
0BC8 - 4 Bytes           18A5F8 : 0                    18A698 : 0                    18A4B8 : 0                    
0BCC - 4 Bytes           18A5FC : 0                    18A69C : 0                    18A4BC : 0                    
0BD0 - 4 Bytes           18A600 : 0                    18A6A0 : 0                    18A4C0 : 0                    
0BD4 - 4 Bytes           18A604 : 0                    18A6A4 : 0                    18A4C4 : 0                    
0BD8 - Pointer           18A608 : P->014D80A1          18A6A8 : P->015780A1          18A4C8 : P->013980A1          
0BE0 - Pointer           18A610 : P->1002BE4F0         18A6B0 : P->0018A748          18A4D0 : P->1002BE4F0         
0BE8 - 4 Bytes           18A618 : 0                    18A6B8 : 0                    18A4D8 : 0                    
0BEC - 4 Bytes           18A61C : 0                    18A6BC : 0                    18A4DC : 0                    
0BF0 - Pointer           18A620 : P->1002BDFD8         18A6C0 : P->1002BDFD8         18A4E0 : P->1002BDFD8         
0BF8 - Pointer to instance of TMBCSEncoding18A628 : P->0012A720          18A6C8 : P->00000001          18A4E8 : P->0012A720          
0C00 - 4 Bytes           18A630 : 0                    18A6D0 : 65535                18A4F0 : 0                    
0C04 - 4 Bytes           18A634 : 0                    18A6D4 : 0                    18A4F4 : 0                    
0C08 - 4 Bytes           18A638 : 0                    18A6D8 : 0                    18A4F8 : 0                    
0C0C - 4 Bytes (Hex)     18A63C : 2C220001             18A6DC : 00000000             18A4FC : 2C220001             
0C10 - 4 Bytes           18A640 : 61                   18A6E0 : 0                    18A500 : 61                   
0C14 - 4 Bytes           18A644 : 0                    18A6E4 : 0                    18A504 : 0                    
0C18 - 4 Bytes           18A648 : 0                    18A6E8 : 807840               18A508 : 0                    
0C1C - 4 Bytes           18A64C : 0                    18A6EC : 1                    18A50C : 0                    
0C20 - 4 Bytes           18A650 : 1                    18A6F0 : 1710560              18A510 : 1                    
0C24 - 4 Bytes           18A654 : 0                    18A6F4 : 0                    18A514 : 0                    
0C28 - Pointer           18A658 : P->1002C0C70         18A6F8 : P->1000C5220         18A518 : P->1002C0C70         
0C30 - 4 Bytes           18A660 : 1                    18A700 : 1710560              18A520 : 1                    
0C34 - 4 Bytes           18A664 : 0                    18A704 : 0                    18A524 : 0                    
0C38 - Pointer           18A668 : P->00122A30          18A708 : P->100000000         18A528 : P->00122970          
0C40 - 4 Bytes           18A670 : 2                    18A710 : 4                    18A530 : 2                    
0C44 - 4 Bytes           18A674 : 4                    18A714 : 0                    18A534 : 4                    
0C48 - 4 Bytes           18A678 : 0                    18A718 : 0                    18A538 : 0                    
0C4C - 4 Bytes           18A67C : 0                    18A71C : 0                    18A53C : 0                    
0C50 - 4 Bytes           18A680 : 0                    18A720 : 0                    18A540 : 0                    
0C54 - 4 Bytes           18A684 : 0                    18A724 : 1                    18A544 : 0                    
0C58 - 4 Bytes           18A688 : 0                    18A728 : 0                    18A548 : 0                    
0C5C - 4 Bytes           18A68C : 0                    18A72C : 0                    18A54C : 0                    
0C60 - 4 Bytes           18A690 : 0                    18A730 : 0                    18A550 : 0                    
0C64 - 4 Bytes           18A694 : 0                    18A734 : 0                    18A554 : 0                    
0C68 - 4 Bytes           18A698 : 0                    18A738 : 0                    18A558 : 0                    
0C6C - 4 Bytes           18A69C : 0                    18A73C : 0                    18A55C : 0                    
0C70 - 4 Bytes           18A6A0 : 0                    18A740 : 0                    18A560 : 0                    
0C74 - 4 Bytes           18A6A4 : 0                    18A744 : 0                    18A564 : 0                    
0C78 - 4 Bytes (Hex)     18A6A8 : 015780A1             18A748 : 016180A1             18A568 : 014380A1             
0C7C - 4 Bytes           18A6AC : 0                    18A74C : 0                    18A56C : 0                    
0C80 - Pointer           18A6B0 : P->0018A748          18A750 : P->0018A068          18A570 : P->1002BE4F0         
0C88 - 4 Bytes           18A6B8 : 0                    18A758 : 1615528              18A578 : 0                    
0C8C - 4 Bytes           18A6BC : 0                    18A75C : 0                    18A57C : 0                    
0C90 - Pointer           18A6C0 : P->1002BDFD8         18A760 : P->1002BDFD8         18A580 : P->1002BDFD8         
0C98 - 4 Bytes           18A6C8 : 1                    18A768 : 1222432              18A588 : 1222432              
0C9C - 4 Bytes           18A6CC : 0                    18A76C : 0                    18A58C : 0                    
0CA0 - 4 Bytes (Hex)     18A6D0 : 0000FFFF             18A770 : 00000000             18A590 : 00000000             
0CA4 - 4 Bytes           18A6D4 : 0                    18A774 : 0                    18A594 : 0                    
0CA8 - 4 Bytes           18A6D8 : 0                    18A778 : 0                    18A598 : 0                    
0CAC - 4 Bytes           18A6DC : 0                    18A77C : 0                    18A59C : 740425729            
0CB0 - 4 Bytes           18A6E0 : 0                    18A780 : 0                    18A5A0 : 61                   
0CB4 - 4 Bytes           18A6E4 : 0                    18A784 : 0                    18A5A4 : 0                    
0CB8 - Pointer           18A6E8 : P->1000C53A0         18A788 : P->00000000          18A5A8 : P->00000000          
0CC0 - Pointer           18A6F0 : P->001A19E0          18A790 : P->00000000          18A5B0 : P->00000001          
0CC8 - Pointer           18A6F8 : P->1000C5220         18A798 : P->00000000          18A5B8 : P->1002C0C70         
0CD0 - Pointer           18A700 : P->001A19E0          18A7A0 : P->00000001          18A5C0 : P->00000001          
0CD8 - Pointer           18A708 : P->100000000         18A7A8 : P->00000000          18A5C8 : P->001229D0          
0CE0 - 4 Bytes           18A710 : 4                    18A7B0 : 0                    18A5D0 : 2                    
0CE4 - 4 Bytes           18A714 : 0                    18A7B4 : 0                    18A5D4 : 4                    
0CE8 - 4 Bytes           18A718 : 0                    18A7B8 : 0                    18A5D8 : 0                    
0CEC - 4 Bytes           18A71C : 0                    18A7BC : 0                    18A5DC : 0                    
0CF0 - Pointer           18A720 : P->100000000         18A7C0 : P->00000000          18A5E0 : P->00000000          
0CF8 - 4 Bytes           18A728 : 0                    18A7C8 : 0                    18A5E8 : 0                    
0CFC - 4 Bytes           18A72C : 0                    18A7CC : 0                    18A5EC : 0                    
0D00 - 4 Bytes           18A730 : 0                    18A7D0 : 0                    18A5F0 : 0                    
0D04 - 4 Bytes           18A734 : 0                    18A7D4 : 0                    18A5F4 : 0                    
0D08 - 4 Bytes           18A738 : 0                    18A7D8 : 0                    18A5F8 : 0                    
0D0C - 4 Bytes           18A73C : 0                    18A7DC : 0                    18A5FC : 0                    
0D10 - 4 Bytes           18A740 : 0                    18A7E0 : 0                    18A600 : 0                    
0D14 - 4 Bytes           18A744 : 0                    18A7E4 : 0                    18A604 : 0                    
0D18 - 4 Bytes (Hex)     18A748 : 016180A1             18A7E8 : 016B80A1             18A608 : 014D80A1             
0D1C - 4 Bytes           18A74C : 0                    18A7EC : 0                    18A60C : 0                    
0D20 - Pointer           18A750 : P->0018A068          18A7F0 : P->0018A888          18A610 : P->1002BE4F0         
0D28 - Pointer           18A758 : P->0018A6A8          18A7F8 : P->0018A068          18A618 : P->00000000          
0D30 - Pointer           18A760 : P->1002BDFD8         18A800 : P->00000000          18A620 : P->1002BDFD8         
0D38 - Pointer to instance of TMBCSEncoding18A768 : P->0012A720          18A808 : P->00000000          18A628 : P->0012A720          
0D40 - 4 Bytes           18A770 : 0                    18A810 : 0                    18A630 : 0                    
0D44 - 4 Bytes           18A774 : 0                    18A814 : 0                    18A634 : 0                    
0D48 - 4 Bytes           18A778 : 0                    18A818 : 0                    18A638 : 0                    
0D4C - 4 Bytes           18A77C : 0                    18A81C : 0                    18A63C : 740425729            
0D50 - 4 Bytes           18A780 : 0                    18A820 : 0                    18A640 : 61                   
0D54 - 4 Bytes           18A784 : 0                    18A824 : 0                    18A644 : 0                    
0D58 - 4 Bytes           18A788 : 0                    18A828 : 0                    18A648 : 0                    
0D5C - 4 Bytes           18A78C : 0                    18A82C : 0                    18A64C : 0                    
0D60 - 4 Bytes           18A790 : 0                    18A830 : 0                    18A650 : 1                    
0D64 - 4 Bytes           18A794 : 0                    18A834 : 0                    18A654 : 0                    
0D68 - 4 Bytes           18A798 : 0                    18A838 : 0                    18A658 : 2886768              
0D6C - 4 Bytes           18A79C : 0                    18A83C : 0                    18A65C : 1                    
0D70 - 4 Bytes           18A7A0 : 1                    18A840 : 0                    18A660 : 1                    
0D74 - 4 Bytes           18A7A4 : 0                    18A844 : 0                    18A664 : 0                    
0D78 - 4 Bytes           18A7A8 : 0                    18A848 : 0                    18A668 : 1190448              
0D7C - 4 Bytes           18A7AC : 0                    18A84C : 0                    18A66C : 0                    
0D80 - 4 Bytes           18A7B0 : 0                    18A850 : 0                    18A670 : 2                    
0D84 - 4 Bytes           18A7B4 : 0                    18A854 : 0                    18A674 : 4                    
0D88 - 4 Bytes           18A7B8 : 0                    18A858 : 0                    18A678 : 0                    
0D8C - 4 Bytes           18A7BC : 0                    18A85C : 0                    18A67C : 0                    
0D90 - 4 Bytes           18A7C0 : 0                    18A860 : 0                    18A680 : 0                    
0D94 - 4 Bytes           18A7C4 : 0                    18A864 : 0                    18A684 : 0                    
0D98 - 4 Bytes           18A7C8 : 0                    18A868 : 0                    18A688 : 0                    
0D9C - 4 Bytes           18A7CC : 0                    18A86C : 0                    18A68C : 0                    
0DA0 - 4 Bytes           18A7D0 : 0                    18A870 : 0                    18A690 : 0                    
0DA4 - 4 Bytes           18A7D4 : 0                    18A874 : 0                    18A694 : 0                    
0DA8 - 4 Bytes           18A7D8 : 0                    18A878 : 0                    18A698 : 0                    
0DAC - 4 Bytes           18A7DC : 0                    18A87C : 0                    18A69C : 0                    
0DB0 - 4 Bytes           18A7E0 : 0                    18A880 : 0                    18A6A0 : 0                    
0DB4 - 4 Bytes           18A7E4 : 0                    18A884 : 0                    18A6A4 : 0                    
0DB8 - 4 Bytes (Hex)     18A7E8 : 016B80A1             18A888 : 017580A1             18A6A8 : 015780A1             
0DBC - 4 Bytes           18A7EC : 0                    18A88C : 0                    18A6AC : 0                    
0DC0 - Pointer           18A7F0 : P->0018A888          18A890 : P->0018A928          18A6B0 : P->0018A748          
0DC8 - Pointer           18A7F8 : P->0018A068          18A898 : P->0018A7E8          18A6B8 : P->00000000          
0DD0 - 4 Bytes           18A800 : 0                    18A8A0 : 0                    18A6C0 : 2875352              
0DD4 - 4 Bytes           18A804 : 0                    18A8A4 : 0                    18A6C4 : 1                    
0DD8 - 4 Bytes           18A808 : 0                    18A8A8 : 0                    18A6C8 : 1                    
0DDC - 4 Bytes           18A80C : 0                    18A8AC : 0                    18A6CC : 0                    
0DE0 - 4 Bytes           18A810 : 0                    18A8B0 : 0                    18A6D0 : 65535                
0DE4 - 4 Bytes           18A814 : 0                    18A8B4 : 0                    18A6D4 : 0                    
0DE8 - 4 Bytes           18A818 : 0                    18A8B8 : 0                    18A6D8 : 0                    
0DEC - 4 Bytes           18A81C : 0                    18A8BC : 0                    18A6DC : 0                    
0DF0 - 4 Bytes           18A820 : 0                    18A8C0 : 0                    18A6E0 : 0                    
0DF4 - 4 Bytes           18A824 : 0                    18A8C4 : 0                    18A6E4 : 0                    
0DF8 - 4 Bytes           18A828 : 0                    18A8C8 : 0                    18A6E8 : 807840               
0DFC - 4 Bytes           18A82C : 0                    18A8CC : 0                    18A6EC : 1                    
0E00 - 4 Bytes           18A830 : 0                    18A8D0 : 0                    18A6F0 : 1710560              
0E04 - 4 Bytes           18A834 : 0                    18A8D4 : 0                    18A6F4 : 0                    
0E08 - 4 Bytes           18A838 : 0                    18A8D8 : 0                    18A6F8 : 807456               
0E0C - 4 Bytes           18A83C : 0                    18A8DC : 0                    18A6FC : 1                    
0E10 - 4 Bytes           18A840 : 0                    18A8E0 : 0                    18A700 : 1710560              
0E14 - 4 Bytes           18A844 : 0                    18A8E4 : 0                    18A704 : 0                    
0E18 - 4 Bytes           18A848 : 0                    18A8E8 : 0                    18A708 : 0                    
0E1C - 4 Bytes           18A84C : 0                    18A8EC : 0                    18A70C : 1                    
0E20 - 4 Bytes           18A850 : 0                    18A8F0 : 0                    18A710 : 4                    
0E24 - 4 Bytes           18A854 : 0                    18A8F4 : 0                    18A714 : 0                    
0E28 - 4 Bytes           18A858 : 0                    18A8F8 : 0                    18A718 : 0                    
0E2C - 4 Bytes           18A85C : 0                    18A8FC : 0                    18A71C : 0                    
0E30 - 4 Bytes           18A860 : 0                    18A900 : 0                    18A720 : 0                    
0E34 - 4 Bytes           18A864 : 0                    18A904 : 0                    18A724 : 1                    
0E38 - 4 Bytes           18A868 : 0                    18A908 : 0                    18A728 : 0                    
0E3C - 4 Bytes           18A86C : 0                    18A90C : 0                    18A72C : 0                    
0E40 - 4 Bytes           18A870 : 0                    18A910 : 0                    18A730 : 0                    
0E44 - 4 Bytes           18A874 : 0                    18A914 : 0                    18A734 : 0                    
0E48 - 4 Bytes           18A878 : 0                    18A918 : 0                    18A738 : 0                    
0E4C - 4 Bytes           18A87C : 0                    18A91C : 0                    18A73C : 0                    
0E50 - 4 Bytes           18A880 : 0                    18A920 : 0                    18A740 : 0                    
0E54 - 4 Bytes           18A884 : 0                    18A924 : 0                    18A744 : 0                    
0E58 - 4 Bytes (Hex)     18A888 : 017580A1             18A928 : 017F80A1             18A748 : 016180A1             
0E5C - 4 Bytes           18A88C : 0                    18A92C : 0                    18A74C : 0                    
0E60 - Pointer           18A890 : P->0018A928          18A930 : P->0018A9C8          18A750 : P->0018A068          
0E68 - Pointer           18A898 : P->0018A7E8          18A938 : P->0018A888          18A758 : P->0018A6A8          
0E70 - 4 Bytes           18A8A0 : 0                    18A940 : 0                    18A760 : 2875352              
0E74 - 4 Bytes           18A8A4 : 0                    18A944 : 0                    18A764 : 1                    
0E78 - 4 Bytes           18A8A8 : 0                    18A948 : 0                    18A768 : 1222432              
0E7C - 4 Bytes           18A8AC : 0                    18A94C : 0                    18A76C : 0                    
0E80 - 4 Bytes           18A8B0 : 0                    18A950 : 0                    18A770 : 0                    
0E84 - 4 Bytes           18A8B4 : 0                    18A954 : 0                    18A774 : 0                    
0E88 - 4 Bytes           18A8B8 : 0                    18A958 : 0                    18A778 : 0                    
0E8C - 4 Bytes           18A8BC : 0                    18A95C : 0                    18A77C : 0                    
0E90 - 4 Bytes           18A8C0 : 0                    18A960 : 0                    18A780 : 0                    
0E94 - 4 Bytes           18A8C4 : 0                    18A964 : 0                    18A784 : 0                    
0E98 - 4 Bytes           18A8C8 : 0                    18A968 : 0                    18A788 : 0                    
0E9C - 4 Bytes           18A8CC : 0                    18A96C : 0                    18A78C : 0                    
0EA0 - 4 Bytes           18A8D0 : 0                    18A970 : 0                    18A790 : 0                    
0EA4 - 4 Bytes           18A8D4 : 0                    18A974 : 0                    18A794 : 0                    
0EA8 - 4 Bytes           18A8D8 : 0                    18A978 : 0                    18A798 : 0                    
0EAC - 4 Bytes           18A8DC : 0                    18A97C : 0                    18A79C : 0                    
0EB0 - 4 Bytes           18A8E0 : 0                    18A980 : 0                    18A7A0 : 1                    
0EB4 - 4 Bytes           18A8E4 : 0                    18A984 : 0                    18A7A4 : 0                    
0EB8 - 4 Bytes           18A8E8 : 0                    18A988 : 0                    18A7A8 : 0                    
0EBC - 4 Bytes           18A8EC : 0                    18A98C : 0                    18A7AC : 0                    
0EC0 - 4 Bytes           18A8F0 : 0                    18A990 : 0                    18A7B0 : 0                    
0EC4 - 4 Bytes           18A8F4 : 0                    18A994 : 0                    18A7B4 : 0                    
0EC8 - 4 Bytes           18A8F8 : 0                    18A998 : 0                    18A7B8 : 0                    
0ECC - 4 Bytes           18A8FC : 0                    18A99C : 0                    18A7BC : 0                    
0ED0 - 4 Bytes           18A900 : 0                    18A9A0 : 0                    18A7C0 : 0                    
0ED4 - 4 Bytes           18A904 : 0                    18A9A4 : 0                    18A7C4 : 0                    
0ED8 - 4 Bytes           18A908 : 0                    18A9A8 : 0                    18A7C8 : 0                    
0EDC - 4 Bytes           18A90C : 0                    18A9AC : 0                    18A7CC : 0                    
0EE0 - 4 Bytes           18A910 : 0                    18A9B0 : 0                    18A7D0 : 0                    
0EE4 - 4 Bytes           18A914 : 0                    18A9B4 : 0                    18A7D4 : 0                    
0EE8 - 4 Bytes           18A918 : 0                    18A9B8 : 0                    18A7D8 : 0                    
0EEC - 4 Bytes           18A91C : 0                    18A9BC : 0                    18A7DC : 0                    
0EF0 - 4 Bytes           18A920 : 0                    18A9C0 : 0                    18A7E0 : 0                    
0EF4 - 4 Bytes           18A924 : 0                    18A9C4 : 0                    18A7E4 : 0                    
0EF8 - 4 Bytes (Hex)     18A928 : 017F80A1             18A9C8 : 018980A1             18A7E8 : 016B80A1             
0EFC - 4 Bytes           18A92C : 0                    18A9CC : 0                    18A7EC : 0                    
0F00 - Pointer           18A930 : P->0018A9C8          18A9D0 : P->0018AA68          18A7F0 : P->0018A888          
0F08 - Pointer           18A938 : P->0018A888          18A9D8 : P->0018A928          18A7F8 : P->0018A068          
0F10 - 4 Bytes           18A940 : 0                    18A9E0 : 0                    18A800 : 0                    
0F14 - 4 Bytes           18A944 : 0                    18A9E4 : 0                    18A804 : 0                    
0F18 - 4 Bytes           18A948 : 0                    18A9E8 : 0                    18A808 : 0                    
0F1C - 4 Bytes           18A94C : 0                    18A9EC : 0                    18A80C : 0                    
0F20 - 4 Bytes           18A950 : 0                    18A9F0 : 0                    18A810 : 0                    
0F24 - 4 Bytes           18A954 : 0                    18A9F4 : 0                    18A814 : 0                    
0F28 - 4 Bytes           18A958 : 0                    18A9F8 : 0                    18A818 : 0                    
0F2C - 4 Bytes           18A95C : 0                    18A9FC : 0                    18A81C : 0                    
0F30 - 4 Bytes           18A960 : 0                    18AA00 : 0                    18A820 : 0                    
0F34 - 4 Bytes           18A964 : 0                    18AA04 : 0                    18A824 : 0                    
0F38 - 4 Bytes           18A968 : 0                    18AA08 : 0                    18A828 : 0                    
0F3C - 4 Bytes           18A96C : 0                    18AA0C : 0                    18A82C : 0                    
0F40 - 4 Bytes           18A970 : 0                    18AA10 : 0                    18A830 : 0                    
0F44 - 4 Bytes           18A974 : 0                    18AA14 : 0                    18A834 : 0                    
0F48 - 4 Bytes           18A978 : 0                    18AA18 : 0                    18A838 : 0                    
0F4C - 4 Bytes           18A97C : 0                    18AA1C : 0                    18A83C : 0                    
0F50 - 4 Bytes           18A980 : 0                    18AA20 : 0                    18A840 : 0                    
0F54 - 4 Bytes           18A984 : 0                    18AA24 : 0                    18A844 : 0                    
0F58 - 4 Bytes           18A988 : 0                    18AA28 : 0                    18A848 : 0                    
0F5C - 4 Bytes           18A98C : 0                    18AA2C : 0                    18A84C : 0                    
0F60 - 4 Bytes           18A990 : 0                    18AA30 : 0                    18A850 : 0                    
0F64 - 4 Bytes           18A994 : 0                    18AA34 : 0                    18A854 : 0                    
0F68 - 4 Bytes           18A998 : 0                    18AA38 : 0                    18A858 : 0                    
0F6C - 4 Bytes           18A99C : 0                    18AA3C : 0                    18A85C : 0                    
0F70 - 4 Bytes           18A9A0 : 0                    18AA40 : 0                    18A860 : 0                    
0F74 - 4 Bytes           18A9A4 : 0                    18AA44 : 0                    18A864 : 0                    
0F78 - 4 Bytes           18A9A8 : 0                    18AA48 : 0                    18A868 : 0                    
0F7C - 4 Bytes           18A9AC : 0                    18AA4C : 0                    18A86C : 0                    
0F80 - 4 Bytes           18A9B0 : 0                    18AA50 : 0                    18A870 : 0                    
0F84 - 4 Bytes           18A9B4 : 0                    18AA54 : 0                    18A874 : 0                    
0F88 - 4 Bytes           18A9B8 : 0                    18AA58 : 0                    18A878 : 0                    
0F8C - 4 Bytes           18A9BC : 0                    18AA5C : 0                    18A87C : 0                    
0F90 - 4 Bytes           18A9C0 : 0                    18AA60 : 0                    18A880 : 0                    
0F94 - 4 Bytes           18A9C4 : 0                    18AA64 : 0                    18A884 : 0                    
0F98 - 4 Bytes (Hex)     18A9C8 : 018980A1             18AA68 : 019380A1             18A888 : 017580A1             
0F9C - 4 Bytes           18A9CC : 0                    18AA6C : 0                    18A88C : 0                    
0FA0 - Pointer           18A9D0 : P->0018AA68          18AA70 : P->0018AB08          18A890 : P->0018A928          
0FA8 - Pointer           18A9D8 : P->0018A928          18AA78 : P->0018A9C8          18A898 : P->0018A7E8          
0FB0 - 4 Bytes           18A9E0 : 0                    18AA80 : 0                    18A8A0 : 0                    
0FB4 - 4 Bytes           18A9E4 : 0                    18AA84 : 0                    18A8A4 : 0                    
0FB8 - 4 Bytes           18A9E8 : 0                    18AA88 : 0                    18A8A8 : 0                    
0FBC - 4 Bytes           18A9EC : 0                    18AA8C : 0                    18A8AC : 0                    
0FC0 - 4 Bytes           18A9F0 : 0                    18AA90 : 0                    18A8B0 : 0                    
0FC4 - 4 Bytes           18A9F4 : 0                    18AA94 : 0                    18A8B4 : 0                    
0FC8 - 4 Bytes           18A9F8 : 0                    18AA98 : 0                    18A8B8 : 0                    
0FCC - 4 Bytes           18A9FC : 0                    18AA9C : 0                    18A8BC : 0                    
0FD0 - 4 Bytes           18AA00 : 0                    18AAA0 : 0                    18A8C0 : 0                    
0FD4 - 4 Bytes           18AA04 : 0                    18AAA4 : 0                    18A8C4 : 0                    
0FD8 - 4 Bytes           18AA08 : 0                    18AAA8 : 0                    18A8C8 : 0                    
0FDC - 4 Bytes           18AA0C : 0                    18AAAC : 0                    18A8CC : 0                    
0FE0 - 4 Bytes           18AA10 : 0                    18AAB0 : 0                    18A8D0 : 0                    
0FE4 - 4 Bytes           18AA14 : 0                    18AAB4 : 0                    18A8D4 : 0                    
0FE8 - 4 Bytes           18AA18 : 0                    18AAB8 : 0                    18A8D8 : 0                    
0FEC - 4 Bytes           18AA1C : 0                    18AABC : 0                    18A8DC : 0                    
0FF0 - 4 Bytes           18AA20 : 0                    18AAC0 : 0                    18A8E0 : 0                    
0FF4 - 4 Bytes           18AA24 : 0                    18AAC4 : 0                    18A8E4 : 0                    
0FF8 - 4 Bytes           18AA28 : 0                    18AAC8 : 0                    18A8E8 : 0                    
0FFC - 4 Bytes           18AA2C : 0                    18AACC : 0                    18A8EC : 0                    
